country,iso_code,gmm_component_0_probability,gmm_component_1_probability,gmm_component,gmm_max_probability
Comoros,COM,0.999837575120593,0.00016242487940686353,0,0.999837575120593
Congo,COG,0.0005326307578391129,0.9994673692421601,1,0.9994673692421601
Costa Rica,CRI,0.9922696009446932,0.007730399055307071,0,0.9922696009446932
Cote d'Ivoire,CIV,0.07969529780676472,0.9203047021932346,1,0.9203047021932346
Croatia,HRV,0.980517169453196,0.01948283054680411,0,0.980517169453196
Cuba,CUB,0.9752738708316147,0.024726129168384903,0,0.9752738708316147
Curacao,CUW,1.6499398581196832e-07,0.9999998350060147,1,0.9999998350060147
Cyprus,CYP,0.9812184909896582,0.018781509010341917,0,0.9812184909896582
Czechia,CZE,0.9873001239257294,0.01269987607427051,0,0.9873001239257294
Democratic Republic of Congo,COD,0.9839421843040257,0.01605781569597433,0,0.9839421843040257
Denmark,DNK,0.941872146473232,0.05812785352676751,0,0.941872146473232
Djibouti,DJI,0.9957745491690143,0.004225450830985797,0,0.9957745491690143
Dominica,DMA,0.99828007230495,0.0017199276950501318,0,0.99828007230495
Dominican Republic,DOM,0.9063089631236827,0.09369103687631698,0,0.9063089631236827
Ecuador,ECU,0.9871419777263534,0.012858022273646588,0,0.9871419777263534
Egypt,EGY,0.7064593015751551,0.29354069842484526,0,0.7064593015751551
El Salvador,SLV,0.9987686426336846,0.0012313573663156182,0,0.9987686426336846
Equatorial Guinea,GNQ,5.2000537804406274e-18,1.0,1,1.0
Estonia,EST,0.626002036709491,0.37399796329050927,0,0.626002036709491
Eswatini,SWZ,0.9983489723569058,0.001651027643094858,0,0.9983489723569058
Ethiopia,ETH,0.9984297973535398,0.001570202646459918,0,0.9984297973535398
Faroe Islands,FRO,0.988089241933525,0.011910758066475255,0,0.988089241933525
Fiji,FJI,0.9998712346749042,0.00012876532509568828,0,0.9998712346749042
Finland,FIN,0.9644053115221138,0.035594688477885744,0,0.9644053115221138
France,FRA,0.9848291918669775,0.015170808133022321,0,0.9848291918669775
French Polynesia,PYF,0.9933610846952334,0.006638915304766846,0,0.9933610846952334
Gabon,GAB,0.9733506171096366,0.026649382890363765,0,0.9733506171096366
Gambia,GMB,0.9995121266362005,0.00048787336379941545,0,0.9995121266362005
Georgia,GEO,0.9975410382962824,0.002458961703717311,0,0.9975410382962824
Germany,DEU,0.9844956459130269,0.015504354086972994,0,0.9844956459130269
Ghana,GHA,0.9760411882892986,0.02395881171070216,0,0.9760411882892986
Greece,GRC,0.9618435541896265,0.03815644581037328,0,0.9618435541896265
Greenland,GRL,0.9909646316966791,0.009035368303321243,0,0.9909646316966791
Grenada,GRD,0.9989083602073067,0.0010916397926934163,0,0.9989083602073067
Guatemala,GTM,0.47297305414630536,0.5270269458536945,1,0.5270269458536945
Guinea,GIN,0.999529443517062,0.0004705564829383003,0,0.999529443517062
Guinea-Bissau,GNB,0.9995814403577628,0.00041855964223682756,0,0.9995814403577628
Guyana,GUY,0.9994416451608275,0.0005583548391722417,0,0.9994416451608275
Haiti,HTI,0.9999279233223766,7.207667762350498e-05,0,0.9999279233223766
Honduras,HND,0.998750361150996,0.0012496388490036178,0,0.998750361150996
Hong Kong,HKG,0.9696739771669732,0.03032602283302637,0,0.9696739771669732
Hungary,HUN,0.9868485324887604,0.013151467511239877,0,0.9868485324887604
Iceland,ISL,0.9319652932094232,0.06803470679057687,0,0.9319652932094232
India,IND,0.9965857888972762,0.00341421110272376,0,0.9965857888972762
Indonesia,IDN,0.0009186172702110781,0.9990813827297889,1,0.9990813827297889
Iran,IRN,0.056124768653686576,0.9438752313463127,1,0.9438752313463127
Iraq,IRQ,0.9878063488996341,0.012193651100365972,0,0.9878063488996341
Ireland,IRL,0.9840342316005611,0.01596576839943887,0,0.9840342316005611
Israel,ISR,0.7315079251691572,0.26849207483084303,0,0.7315079251691572
Italy,ITA,0.9379080822786868,0.06209191772131272,0,0.9379080822786868
Jamaica,JAM,0.9816087997040271,0.01839120029597324,0,0.9816087997040271
Japan,JPN,0.8979539610753822,0.10204603892461754,0,0.8979539610753822
Jordan,JOR,0.33924312711207705,0.6607568728879225,1,0.6607568728879225
Kazakhstan,KAZ,0.9913937604541907,0.00860623954580963,0,0.9913937604541907
Kenya,KEN,0.998014622399254,0.0019853776007459204,0,0.998014622399254
Kiribati,KIR,0.9994402930628276,0.0005597069371722953,0,0.9994402930628276
Kuwait,KWT,0.9669098565676664,0.03309014343233326,0,0.9669098565676664
Kyrgyzstan,KGZ,0.1449724424897051,0.8550275575102941,1,0.8550275575102941
Laos,LAO,1.800217896213808e-16,1.0,1,1.0
Latvia,LVA,0.9909847465189224,0.00901525348107784,0,0.9909847465189224
Lebanon,LBN,0.9974646450593239,0.0025353549406763954,0,0.9974646450593239
Lesotho,LSO,0.9958784112336384,0.004121588766361838,0,0.9958784112336384
Liberia,LBR,0.9883668686190554,0.011633131380944909,0,0.9883668686190554
Libya,LBY,0.9690422191852379,0.030957780814761787,0,0.9690422191852379
Lithuania,LTU,0.990680945464023,0.009319054535976798,0,0.990680945464023
Luxembourg,LUX,0.8100082632617641,0.18999173673823536,0,0.8100082632617641
Macao,MAC,0.9711241012672518,0.02887589873274784,0,0.9711241012672518
Madagascar,MDG,0.3284136032847617,0.6715863967152391,1,0.6715863967152391
