country,iso_code,log_recent_per_capita,long_term_log_slope,recent_log_slope,slope_acceleration,growth_volatility_mad,peak_timing,post_peak_change,recent_coal_share,recent_gas_share,coal_share_change,gas_share_change,cluster,PC1,PC2,PC3,PC4
Costa Rica,CRI,0.9290095042819297,0.007513655537539387,-0.009425223989243512,-0.0169388795267829,3.7385,0.5172413793103449,-0.20061555679910456,0.0,0.0,0.0,0.0,1,-0.1688065456725261,0.04058598496092166,-0.7695954104420294,0.2746260416238746
Cote d'Ivoire,CIV,0.3228078744271551,0.0025736418028719957,0.007949360780600349,0.005375718977728353,11.081,0.13793103448275862,-0.06236080178173713,0.0,0.3870905214188797,0.0,0.3870905214188797,1,-0.6936010036125483,-1.1635060837312794,3.0748663267676264,0.1867171975622578
Croatia,HRV,1.692675511004156,0.005368557273871024,0.0017365230153315525,-0.003632034258539472,4.3205,0.5172413793103449,-0.20174311926605504,0.0935856992639326,0.3235021904115506,0.0372827922490367,0.033327224058926075,1,0.49672409553163455,-0.26683819876234255,-0.07705116470638604,-0.4981664690004937
Cuba,CUB,1.1075720300395817,0.0034736473395458596,-0.03542138016642829,-0.03889502750597415,5.0185,0.6551724137931034,-0.2463573619631902,0.0004600970386481,0.0835390761772231,-0.0111021630218731,0.08176500636517871,1,-0.7652450526661939,-1.070665041992311,-0.5460174122774822,0.5716458102796165
Curacao,CUW,2.6130799635109834,0.0013556384274114755,-0.16613114441987334,-0.16748678284728483,10.425,0.7586206896551724,-0.7280608032635618,0.0,0.0,0.0,0.0,1,-1.7020665050006574,-5.145793357855747,-4.217842309813014,1.8814156578253927
Cyprus,CYP,1.901062204118505,-0.009999498745717117,-0.011239880370347517,-0.0012403816246304,2.3339999999999996,0.5172413793103449,-0.3305696202531646,0.0093317780369938,0.0,-0.0032456213438111,-0.0003943217665615,1,-0.3754786698531763,0.10327722771660877,-0.7787811714221887,-0.7225634215979695
Czechia,CZE,2.3579251880272105,-0.013181386622090025,-0.015244806127206226,-0.002063419505116201,2.5949999999999998,0.0,-0.3552531851156747,0.5914171040444582,0.1786662550169805,-0.14715936197268153,0.0663772962392052,1,-3.2009542351400517,0.4189790531772704,-0.5369759984648155,-1.2778117885121243
Democratic Republic of Congo,COD,0.04210117601863539,-0.015021746504210863,-0.009960824627486832,0.005060921876724031,9.2825,0.10344827586206896,-0.37142857142857155,0.013719987527284,0.0003118178983473,0.013719987527284,0.0003118178983473,1,0.01865673297510523,0.34547138679508976,-0.8090565814920332,-0.4780271376857465
Denmark,DNK,1.8441937790764762,-0.03239689506772757,-0.04466217747706349,-0.012265282409335922,4.657000000000001,0.10344827586206896,-0.6011914345516021,0.1511026506716471,0.1975741322036997,-0.33414800531509503,0.09248334570849191,1,-7.181911842317109,0.8819391911433998,-0.7350995544760316,-0.7033721971510528
Djibouti,DJI,0.36464311358790924,-0.006557995084457119,0.03324958357164811,0.03980757865610523,7.8085,0.5862068965517241,-0.1732851985559568,0.0,0.0,0.0,0.0,1,0.259585321746432,1.767771968189923,0.15009050422021986,-0.4067811696530538
Dominica,DMA,1.2231870232497404,0.03741703725152449,0.0021929961659503845,-0.0352240410855741,6.9465,0.5517241379310345,-0.05457816873250694,0.0,0.0,0.0,0.0,1,0.07075012099487095,-0.023890042608082238,-0.7168240514372027,1.4351724681129134
Dominican Republic,DOM,1.2187628897985714,0.011114502863264058,0.027630611357205865,0.016516108493941806,3.409,0.9655172413793104,-0.038844240336777705,0.1683864383716974,0.1055297274823298,0.1439398208945884,0.1055297274823298,0,2.7784446368727265,-0.25002792221089887,0.9764472780935277,-0.3256118215208087
